"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Arch","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0042 hourly","$0.0026 hourly","$0.0014 hourly"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0047 hourly","$0.0029 hourly","$0.0014 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0052 hourly","$0.0033 hourly","$0.0011 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","32/64-bit","Low to Moderate","$0.0058 hourly","$0.0036 hourly","unavailable"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0084 hourly","$0.0053 hourly","$0.0027 hourly"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0094 hourly","$0.0059 hourly","$0.0027 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","Intel Skylake E5 2686 v5","3.1 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0104 hourly","$0.0065 hourly","$0.0025 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","Intel Xeon Family","Up to 3.3 GHz","EBS only","32/64-bit","Low to Moderate","$0.0116 hourly","$0.0072 hourly","$0.0023 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0168 hourly","$0.0105 hourly","$0.0065 hourly"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 5 Gigabit","$0.0188 hourly","$0.0118 hourly","$0.0072 hourly"
